run_index,algorithm,duration,period,flowmonMode,seed,return_code,elapsed_seconds,decisions,handover_count,final_net,error
0,laavha,20.0,0.1,feed,200,0,12.7,200,0,0,
1,laavha,20.0,0.1,feed,201,0,13.7,200,0,0,
2,laavha,20.0,0.1,feed,202,0,14.1,200,0,0,
3,laavha,20.0,0.1,feed,203,0,15.0,200,0,0,
4,laavha,20.0,0.1,feed,204,0,14.6,200,0,0,
5,laavha,20.0,0.1,feed,205,0,13.8,200,0,0,
6,laavha,20.0,0.1,feed,206,0,13.6,200,0,0,
7,laavha,20.0,0.1,feed,207,0,14.5,200,0,0,
8,laavha,20.0,0.1,feed,208,0,14.6,200,0,0,
9,laavha,20.0,0.1,feed,209,0,15.5,200,0,0,
10,laavha,20.0,0.1,feed,210,0,15.8,200,0,0,
11,laavha,20.0,0.1,feed,211,0,14.6,200,0,0,
12,laavha,20.0,0.1,feed,212,0,13.3,200,0,0,
13,laavha,20.0,0.1,feed,213,0,14.4,200,0,0,
14,laavha,20.0,0.1,feed,214,0,15.5,200,0,0,
15,laavha,20.0,0.1,feed,215,0,14.7,200,0,0,
16,laavha,20.0,0.1,feed,216,0,14.5,200,0,0,
17,laavha,20.0,0.1,feed,217,0,14.6,200,0,0,
18,laavha,20.0,0.1,feed,218,0,15.0,200,0,0,
19,laavha,20.0,0.1,feed,219,0,15.1,200,0,0,
